Births;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
San Marino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sao Tome and Principe;983;983;983;983;983;983;983;983;983;983;983;983;984;985;987;988;991;993;996;999;1003;1007;1011;1016;1021;1027;1033;1039;1046;1053;1060;1068;1076;1084;1093;1101;1109;1117;1126;1134;1143;1151;1160;1168;1177;1186;1195;1204;1213;1222;1231;1241;1250;1259;1269;1279;1288;1298;1308;1318;1328;1338;1348;1359;1369;1379;1390;1400;1411;1422;1433;1443;1454;1465;1476;1488;1499;1510;1522;1533;1545;1556;1568;1580;1592;1604;1616;1628;1641;1653;1666;1678;1691;1704;1717;1730;1743;1756;1770;1783;1797;1810;1824;1838;1852;1866;1880;1894;1909;1923;1938;1952;1967;1982;1997;2012;2028;2043;2058;2074;2089;2105;2121;2137;2153;2169;2185;2201;2218;2235;2262,09523809524;2289,19047619048;2316,28571428571;2343,38095238095;2370,47619047619;2397,57142857143;2424,66666666667;2451,7619047619;2478,85714285714;2505,95238095238;2533,04761904762;2560,14285714286;2587,2380952381;2614,33333333333;2641,42857142857;2668,52380952381;2695,61904761905;2722,71428571429;2749,80952380952;2776,90476190476;2804;2810;2823;2839;2858;2879;2902;2926;2951;2973;2992;3004;3008;3003;2993;2979;2967;2962;2966;2984;3018;3069;3134;3210;3295;3386;3481;3575;3667;3755;3836;3911;3981;4047;4112;4174;4237;4300;4366;4435;4508;4586;4669;4756;4845;4937;5030;5122;5212;5299;5383;5462;5537;5609;5678;5747;5817;5890;5965;6042;6118;6189;6251;6305;6349;6385
Saudi Arabia;98795;98795;98795;98795;98795;98795;98795;98795;98795;98795;98795;98805;98827;98858;98900;98953;99017;99091;99176;99271;99377;99494;99622;99761;99910;100070;100241;100423;100616;100820;101035;101261;101487;101714;101942;102170;102398;102627;102856;103086;103317;103548;103779;104011;104244;104477;104710;104944;105179;105414;105650;105876;106102;106329;106557;106785;107013;107242;107472;107702;107932;108168;108409;108655;108906;109163;109426;109694;109967;110246;110530;110820;111115;111390;111698;112013;112333;112647;112984;113329;113674;114018;114365;114714;115061;115412;115764;116114;116468;116823;117179;117537;117895;118254;118615;118976;119339;119703;120068;120434;120801;121169;121537;121907;122279;122651;123025;123397;123774;124151;124529;124908;125289;125714;126183;126697;127213;127731;128267;128802;129339;129878;130420;130964;131510;132058;132787;133698;134435;135176;136028,80952381;136881,619047619;137734,428571429;138587,238095238;139440,047619048;140292,857142857;141145,666666667;141998,476190476;142851,285714286;143704,095238095;144556,904761905;145409,714285714;146262,523809524;147115,333333333;147968,142857143;148820,952380952;149673,761904762;150526,571428571;151379,380952381;152232,19047619;153085;154531;157616;161087;164945;169187;173803;178788;184122;189776;195716;201919;208374;215103;222164;229638;237621;246209;255490;265529;276294;287696;299695;312333;325741;340362;356739;375041;395128;416610;438884;461216;482766;502763;520666;536074;548859;559352;567870;574510;579327;582371;583832;583977;583092;581323;578719;575459;571882;568452;565839;564706;565346;567847;572157;578068;585192;592825;600269;607033;612632;616729;619359;620609;620500;619112
Senegal;40282;40282;40282;40282;40282;40282;40282;40282;40282;40282;40282;40295;40321;40360;40412;40477;40556;40648;40754;40874;41007;41154;41315;41489;41678;41881;42099;42331;42577;42838;43113;43404;43696;43990;44286;44584;44885;45187;45491;45797;46106;46416;46729;47043;47360;47679;48000;48323;48649;48976;49306;49653;50003;50355;50710;51067;51427;51789;52154;52521;52891;53263;53638;54016;54397;54780;55165;55554;55945;56339;56736;57135;57538;57934;58342;58753;59167;59575;59995;60417;60842;61263;61695;62129;62560;63000;63444;63885;64335;64788;65244;65703;66166;66631;67100;67573;68048;68527;69010;69496;69985;70477;70968;71468;71971;72477;72987;73493;74011;74532;75056;75582;76114;76650;77189;77732;78279;78830;79353;79887;80425;80967;81512;82061;82613;83170;84129;85098;86076;87063;88785,8095238095;90508,6190476191;92231,4285714286;93954,2380952381;95677,0476190476;97399,8571428571;99122,6666666667;100845,476190476;102568,285714286;104291,095238095;106013,904761905;107736,714285714;109459,523809524;111182,333333333;112905,142857143;114627,952380952;116350,761904762;118073,571428571;119796,380952381;121519,19047619;123242;125088;128805;132576;136399;140274;144202;148185;152229;156339;160526;164806;169201;173743;178467;183444;188751;194403;200378;206631;213093;219679;226277;232779;239102;245148;250842;256210;261311;266202;270982;275772;280687;285816;291210;296886;302819;308924;315127;321396;327672;333899;340082;346260;352485;358834;365398;372272;379541;387265;395437;404004;412924;422207;431929;442394;453977;466777;480665;495330;510170;524453;537576;549145;559032;567336
Serbia;88371;88371;88371;88371;88371;88371;88371;88371;88371;88371;88371;88408;88483;88595;88746;88935;89163;89430;89737;90083;90470;90897;91365;91875;92426;93019;93654;94332;95054;95819;96628;97481;98341;99210;100086;100969;101861;102760;103667;104583;105506;106438;107377;108325;109282;110247;111220;112202;113193;114192;115200;115497;115789;116078;116363;116644;116921;117193;117462;117918;118180;118437;125920;133300;140800;142198;143609;145034;146473;147926;149394;149328;149250;149120;149016;148898;148766;148587;148428;148254;148066;149191;150354;151527;152681;153872;155071;156256;157474;158701;159938;162185;164459;166761;169090;171448;173833;176248;178692;181164;183667;180825;177895;174924;171887;168783;171819;174864;177980;181138;184338;174450;174763;175068;175054;175340;175302;175568;175833;175763;176006;176239;176129;176339;176540;176388;176565;176732;176536;176677;178120,095238095;179563,19047619;181006,285714286;182449,380952381;183892,476190476;185335,571428571;186778,666666667;188221,761904762;189664,857142857;191107,952380952;192551,047619048;193994,142857143;195437,238095238;196880,333333333;198323,428571429;199766,523809524;201209,619047619;202652,714285714;204095,80952381;205538,904761905;206982;202107;192843;184550;177229;170876;165478;161006;157414;154621;152528;151022;149975;149273;148830;148623;148682;149066;149791;150808;152085;153597;155269;156993;158655;160113;161242;161981;162294;162158;161600;160695;159547;158236;156781;155119;153141;150792;148089;145127;142131;139378;137042;135193;133784;132604;131341;129686;127440;124564;121113;117242;113243;109379;105803;102643;99972;97739;95889;94407;93261;92405;91759;91247;90809;90401
Serbia and Montenegro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serbia excluding Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seychelles;457;457;457;457;457;457;457;457;457;457;457;457;457;457;457;458;458;459;459;460;461;462;463;463;465;466;467;468;470;471;473;474;476;478;479;481;483;484;486;488;489;491;493;494;496;498;500;501;503;505;506;508;510;512;514;515;517;519;521;522;524;526;528;530;532;533;535;537;539;541;543;545;546;548;550;552;554;556;558;560;562;564;566;568;569;571;574;576;580;584;589;595;601;609;617;627;637;648;659;671;683;696;708;721;735;749;763;777;792;807;821;836;846;853;860;867;874;882;889;896;904;911;919;926;933;940;947;955;962;969;994,52380952381;1020,04761904762;1045,57142857143;1071,09523809524;1096,61904761905;1122,14285714286;1147,66666666667;1173,19047619048;1198,71428571429;1224,2380952381;1249,7619047619;1275,28571428571;1300,80952380952;1326,33333333333;1351,85714285714;1377,38095238095;1402,90476190476;1428,42857142857;1453,95238095238;1479,47619047619;1505;1493;1473;1462;1459;1465;1478;1499;1527;1560;1596;1634;1672;1706;1736;1762;1783;1802;1818;1832;1844;1853;1859;1862;1862;1860;1857;1853;1848;1843;1837;1829;1818;1803;1785;1766;1745;1724;1705;1687;1669;1649;1626;1600;1573;1547;1527;1516;1515;1525;1546;1575;1610;1646;1680;1710;1734;1751;1760;1762;1756;1741;1719;1692;1662;1628
Sierra Leone;31782;31782;31782;31782;31782;31782;31782;31782;31782;31782;31782;31792;31813;31843;31884;31936;31998;32070;32154;32247;32352;32468;32594;32732;32880;33040;33211;33393;33587;33792;34009;34237;34467;34699;34931;35166;35402;35640;35879;36120;36362;36606;36852;37100;37349;37599;37852;38106;38362;38619;38878;39153;39430;39708;39989;40271;40556;40842;41131;41422;41714;42009;42306;42605;42906;43209;43514;43821;44131;44443;44757;45073;45391;45705;46028;46353;46680;47004;47335;47670;48006;48340;48681;49025;49366;49715;50066;50415;50771;51129;51490;51854;52220;52589;52960;53334;53710;54090;54472;54856;55243;55633;56022;56418;56816;57217;57621;58021;58431;58844;59259;59675;60097;60521;60948;61378;61811;62248;62658;63079;63502;63929;64358;64790;65225;65663;66104;66547;66994;67444;68546,5238095238;69649,0476190476;70751,5714285714;71854,0952380952;72956,6190476191;74059,1428571429;75161,6666666667;76264,1904761905;77366,7142857143;78469,2380952381;79571,7619047619;80674,2857142857;81776,8095238095;82879,3333333333;83981,8571428571;85084,3809523809;86186,9047619048;87289,4285714286;88391,9523809524;89494,4761904762;90597;91044;91959;92914;93911;94947;96023;97137;98287;99469;100679;101915;103179;104478;105823;107230;108713;110287;111974;113791;115757;117885;120175;122625;125236;128005;130930;133996;137191;140505;143981;147681;151597;155668;159786;163792;167509;170797;173552;175720;177208;177957;178109;177885;177511;177318;177655;178743;180717;183628;187489;192224;197517;203018;208453;213466;217728;221123;223624;225250;226159;226614;226953;227439;228187;229224
Singapore;1153;1153;1151;1151;1151;1149;1149;1147;1147;1147;1145;1146;1149;1150;1155;1161;1166;1175;1183;1194;1206;1218;1234;1251;1267;1286;1306;1329;1353;1377;1405;1434;1462;1493;1524;1554;1586;1617;1651;1686;1718;1754;1791;1825;1863;1902;1939;1979;2017;2059;2101;2141;2185;2230;2273;2319;2363;2412;2461;2507;2559;2613;2665;2725;2788;2849;2918;2985;3061;3141;3219;3306;3397;3470;3570;3674;3778;3878;3992;4119;4249;4365;4504;1908;2001;2103;2209;2314;2430;2556;2688;2825;2969;3119;3276;3439;3610;3788;3974;4167;4369;4580;4791;5020;5233;5455;5685;5912;6160;6447;6746;7053;7378;7698;8092;8497;8920;9353;9796;10298;10969;11734;12628;13391;14395;15403;16553;17721;18962;20405;21729,2857142857;23053,5714285714;24377,8571428571;25702,1428571429;27026,4285714286;28350,7142857143;29675;30999,2857142857;32323,5714285714;33647,8571428571;34972,1428571429;36296,4285714286;37620,7142857143;38945;40269,2857142857;41593,5714285714;42917,8571428571;44242,1428571429;45566,4285714286;46890,7142857143;48215;49925;53112;55836;58096;59891;61216;62075;62472;62405;61884;60934;59606;57985;56185;54379;52743;51366;50288;49503;48887;48240;47388;46247;44849;43329;41890;40758;40100;39977;40400;41313;42553;43968;45475;47035;48646;50305;51968;53548;54919;55956;56592;56799;56575;55937;54933;53690;52345;51004;49785;48785;48033;47538;47310;47331;47553;47887;48256;48617;48939;49213;49456;49683;49887;50066
Slovak Republic;88645;88645;88645;88645;88645;88645;88645;88645;88645;88645;88645;88660;88691;88738;88800;88877;88970;89079;89204;89345;89501;89674;89862;90067;90288;90525;90778;91047;91333;91636;91955;92290;92627;92965;93304;93644;93986;94329;94673;95018;95365;95713;96062;96412;96764;97117;97471;97827;98183;98542;98901;99255;99611;99968;100326;100685;101046;101408;101771;102136;102501;102869;103237;103607;103978;104350;104724;105099;105476;105854;106233;106613;114461;114970;115486;116004;116524;117042;116564;116081;115593;115096;114598;115653;116711;117778;118852;119929;118991;118044;117090;116126;115155;115178;115199;115219;115237;115255;114590;113920;113243;112559;111867;111056;110237;109411;108578;107734;106474;105204;103924;102632;101331;92183;82967;73685;64335;54917;69877;81961;94132;108345;103055;101069;95513;91105;90840;86779;85693;81782;82625,1904761905;83468,3809523809;84311,5714285714;85154,7619047619;85997,9523809524;86841,1428571429;87684,3333333333;88527,5238095238;89370,7142857143;90213,9047619048;91057,0952380952;91900,2857142857;92743,4761904762;93586,6666666667;94429,8571428571;95273,0476190476;96116,2380952381;96959,4285714286;97802,6190476191;98645,8095238095;99489;99398;99133;98702;98107;97344;96408;95303;94030;92584;90971;89215;87364;85505;83759;82313;81359;80998;81272;82171;83671;85701;88058;90512;92874;94918;96448;97398;97743;97469;96634;95357;93819;92175;90500;88842;87203;85517;83724;81805;79688;77292;74604;71669;68566;65411;62338;59493;57005;54969;53486;52620;52302;52434;52931;53671;54520;55356;56075;56608;56932;57074;57116;57117;57081;56998
Slovenia;16439;16409;16380;16350;16320;16290;16260;16231;16201;16171;16111;16088;16072;16063;16060;16064;16075;16093;16118;16150;16189;16235;16288;16347;16414;16488;16569;16658;16721;16823;16933;17049;17167;17285;17404;17524;17644;17765;17887;18010;18133;18258;18383;18508;18635;18762;18853;18982;19111;19242;19373;19505;19637;19771;19905;20041;20177;21685;21285;22666;20192;22056;21571;22791;22646;22706;23400;22967;24677;25329;25772;25115;24669;26229;25705;26466;27469;26153;25914;26775;27888;27486;28134;28546;29453;29380;30228;30236;30161;30686;28523;30968;30268;30803;31075;32349;32177;32739;31908;32472;32759;33145;34013;33046;33731;33236;33830;33113;33813;35036;34724;33147;32490;33203;32208;25994;19668;19841;20017;25466;30784;34709;34555;35906;35520;34888;33883;33581;33270;31482;31544,8571428571;31607,7142857143;31670,5714285714;31733,4285714286;31796,2857142857;31859,1428571429;31922;31984,8571428571;32047,7142857143;32110,5714285714;32173,4285714286;32236,2857142857;32299,1428571429;32362;32424,8571428571;32487,7142857143;32550,5714285714;32613,4285714286;32676,2857142857;32739,1428571429;32802;32401;31645;30984;30415;29940;29554;29254;29029;28867;28750;28658;28574;28485;28386;28281;28182;28108;28077;28094;28175;28337;28570;28855;29164;29459;29697;29844;29874;29770;29531;29173;28725;28212;27642;26999;26260;25417;24480;23481;22468;21497;20615;19859;19247;18775;18415;18127;17883;17680;17539;17491;17562;17761;18077;18494;18987;19516;20038;20520;20927;21239;21454;21574;21596;21523
Solomon Islands;2534;2534;2534;2534;2534;2534;2534;2534;2534;2534;2534;2534;2536;2537;2539;2542;2545;2549;2554;2559;2564;2570;2577;2584;2592;2601;2610;2619;2630;2640;2652;2664;2676;2688;2700;2712;2724;2737;2749;2761;2774;2786;2799;2812;2824;2837;2850;2863;2876;2889;2902;2908;2914;2920;2926;2932;2939;2945;2951;2957;2963;2969;2975;2981;2987;2993;2999;3005;3011;3017;3023;3029;3035;3041;3047;3053;3059;3065;3071;3077;3083;3089;3095;3100;3106;3112;3118;3124;3130;3135;3141;3147;3153;3159;3165;3170;3176;3182;3188;3193;3199;3205;3210;3216;3222;3227;3233;3238;3244;3250;3255;3261;3266;3272;3277;3283;3288;3294;3312;3327;3342;3357;3372;3387;3403;3418;3433;3449;3464;3480;3483,04761904762;3486,09523809524;3489,14285714286;3492,19047619048;3495,2380952381;3498,28571428571;3501,33333333333;3504,38095238095;3507,42857142857;3510,47619047619;3513,52380952381;3516,57142857143;3519,61904761905;3522,66666666667;3525,71428571429;3528,7619047619;3531,80952380952;3534,85714285714;3537,90476190476;3540,95238095238;3544;3601;3717;3839;3965;4097;4232;4372;4516;4663;4811;4962;5117;5279;5456;5661;5910;6209;6558;6949;7367;7793;8204;8583;8922;9212;9455;9663;9849;10023;10196;10378;10575;10792;11027;11279;11540;11800;12050;12288;12511;12716;12911;13100;13288;13483;13691;13917;14162;14427;14714;15022;15344;15670;15989;16287;16550;16768;16938;17059;17131;17159;17157;17139;17115;17095
Somalia;46908;46928;46949;46969;46989;47009;47029;47049;47069;47089;47110;47143;47190;47250;47323;47411;47512;47627;47755;47898;48055;48225;48411;48610;48824;49053;49296;49554;49827;50114;50417;50735;51055;51377;51701;52027;52355;52685;53017;53352;53688;54026;54367;54710;55055;55402;55752;56103;56457;56813;57171;57527;57885;58246;58609;58974;59341;59710;60082;60456;60833;61212;61593;61977;62363;62751;63142;63535;63931;64329;64729;65133;65538;65938;66348;66761;67177;67588;68008;68432;68858;69280;69711;70145;70576;71015;71457;71897;72344;72795;73248;73704;74163;74625;75090;75558;76028;76502;76978;77457;77940;78425;78908;79400;79894;80392;80892;81389;81895;82405;82919;83433;83952;84475;85001;85531;86063;86599;87147;87697;88250;88806;89366;89930;90497;91068;91888;92591;93424;94138;95031,5714285714;95925,1428571429;96818,7142857143;97712,2857142857;98605,8571428571;99499,4285714286;100393;101286,571428571;102180,142857143;103073,714285714;103967,285714286;104860,857142857;105754,428571429;106648;107541,571428571;108435,142857143;109328,714285714;110222,285714286;111115,857142857;112009,428571429;112903;113692;115313;117022;118819;120704;122679;124746;126910;129179;131560;134061;136686;139432;142287;145097;147661;149968;152157;154480;157438;161618;167402;174963;184263;195164;207380;220282;233205;245640;256995;266785;274931;281475;286470;290105;292704;294782;296827;299157;302033;305583;309717;314348;319488;325100;331108;337400;343892;350549;357420;364601;372142;380023;388145;396272;404109;411496;418392;424880;431206;437718;444768;452604;461310;470875
Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Africa;64510;64746;64983;65221;65459;65699;65939;66180;66423;66666;66926;67192;67480;67790;68123;68479;68858;69260;69687;70138;70613;71113;71638;72189;72765;73368;73997;74653;75336;76046;76785;77551;78325;79107;79897;80694;81500;82314;83135;83965;84803;85650;86505;87369;88241;89122;90011;90910;91817;92734;93660;94594;95538;96491;97453;98426;99407;100399;101401;102412;103434;104524;105685;106918;108225;109609;111071;112613;114238;115949;117746;119633;121612;123272;125452;127738;130133;132357;135027;137825;140680;143434;146406;149439;152385;155542;158764;161917;165272;168696;172191;175758;179399;183116;186910;190782;194734;198769;202887;207090;211380;215759;220075;224634;229288;234038;238887;243597;248643;253794;259052;264345;269822;275514;281428;287571;293848;300263;306820;313519;320365;327361;334509;341813;349277;356903;364697;372132;380258;388010;398977,80952381;409945,619047619;420913,428571429;431881,238095238;442849,047619048;453816,857142857;464784,666666667;475752,476190476;486720,285714286;497688,095238095;508655,904761905;519623,714285714;530591,523809524;541559,333333333;552527,142857143;563494,952380952;574462,761904762;585430,571428571;596398,380952381;607366,190476191;618334;622078;630129;639303;649601;660991;673373;686625;700505;714576;728364;741413;753350;764076;773846;783453;793976;806298;820903;837774;856425;875992;895379;913739;930730;946410;961192;975689;990273;1004883;1019330;1033296;1046301;1057895;1067789;1075577;1080928;1083959;1084965;1084280;1082304;1079487;1076410;1073678;1071806;1071481;1073279;1077119;1082663;1089515;1096830;1103553;1108839;1112165;1113421;1112998;1111680;1110433;1109924;1110293;1111426;1112938;1114128;1114387;1113414;1110883
South Ossetia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;418903;420058;421215;422377;423541;424709;425879;427053;428231;429411;430655;431924;433279;434723;436255;437875;439584;441384;443276;445259;447335;449505;451771;454131;456587;459142;461793;464543;467394;470346;473399;476554;479730;482927;486145;489384;492645;495928;499232;502559;505908;509246;512574;515891;519195;522488;525768;529022;532242;535404;538508;535891;533146;530275;527277;524156;521886;518526;544618;557948;572865;611329;605978;597359;621927;614771;612294;617761;574938;598091;593876;595168;596514;597653;599090;600592;602155;603457;605150;602915;600696;630545;618295;611093;633204;629573;639785;632638;641083;644228;611762;630738;639052;641963;630367;636850;656205;626289;614666;634591;632318;656561;660468;665060;669866;674889;670314;665419;660987;656101;651085;648360;645501;642534;639500;636399;634888;633321;631668;629975;628599;644639;661655;668364;657427;650674;668563;641119;670667;658834;654013,190476191;649192,380952381;644371,571428571;639550,761904762;634729,952380952;629909,142857143;625088,333333333;620267,523809524;615446,714285714;610625,904761905;605805,095238095;600984,285714286;596163,476190476;591342,666666667;586521,857142857;581701,047619048;576880,238095238;572059,428571429;567238,619047619;562417,809523809;557597;565927;581873;596392;609484;621143;631351;640115;647429;653268;657636;660582;662229;662812;662668;662402;662667;663757;665716;668380;671518;674760;677316;678309;676999;672242;662946;648965;630631;608518;583588;557079;530506;505262;482308;462377;445740;431867;420249;410737;402938;396351;390641;385672;381527;378702;377922;379733;384360;391643;401460;413565;427082;440906;454000;464946;472395;475844;475191;470572;462632;452447;441446;430826;421215;412871
Sri Lanka;48230;48230;48230;48230;48230;48230;48230;48230;48230;48230;48230;48276;48370;48513;48706;48948;49243;49590;49990;50446;50957;51526;52152;52838;53585;54393;55264;56200;57201;58269;59406;60612;61843;63098;64380;65687;67021;68382;69770;71187;72632;74070;75500;76920;78332;79733;81123;82502;83869;85224;86564;87900;89221;90526;91815;93087;94341;95576;96791;97985;99157;100311;101458;102596;103727;104852;105968;107075;108174;109265;110346;111418;112491;113616;114689;115777;116856;117916;118960;119993;121040;130178;127019;138589;145155;129831;124076;148324;144935;125518;146045;145971;138225;141930;148294;141419;141991;167468;172650;143545;172004;165820;169413;175124;167564;124782;161311;151524;187266;173554;183004;180666;159871;186458;185110;184202;199768;210135;210960;187250;192768;216984;211277;211039;206232;221025;234617;232128;238967;219927;223152,761904762;226378,523809524;229604,285714286;232830,047619048;236055,80952381;239281,571428571;242507,333333333;245733,095238095;248958,857142857;252184,619047619;255410,380952381;258636,142857143;261861,904761905;265087,666666667;268313,428571429;271539,19047619;274764,952380952;277990,714285714;281216,476190476;284442,238095238;287668;295307;309709;322357;333251;342408;349889;355784;360266;363627;366215;368392;370522;372855;375466;378112;380347;381768;382210;381815;381040;380525;380825;382265;384869;388511;392880;397342;401271;404246;405716;405213;402758;398555;392858;386148;379049;372203;366126;361099;357156;354087;351481;349067;346850;345003;343797;343457;344083;345616;348014;351185;354800;358447;361735;364125;365103;364479;362220;358391;353245;347196;340799;334529;328646;323265
Sudan;183139;183381;183624;183867;184110;184353;184597;184841;185085;185330;185581;185854;186156;186487;186847;187235;187653;188100;188577;189083;189620;190186;190782;191409;192067;192755;193474;194224;195006;195819;196663;197539;198420;199304;200192;201084;201980;202880;203784;204692;205604;206520;207440;208364;209293;210225;211162;212103;213048;213997;214951;215196;215440;215681;215921;216158;216393;216626;216857;217085;217311;217535;217756;217976;218192;218407;218619;218828;219035;219240;219442;219641;219838;220018;220210;220399;220585;220756;220936;221115;221290;221451;221620;221787;221940;222101;222259;222405;222557;222706;222851;222994;223133;223269;223402;223532;223658;223782;223901;224018;224131;224240;224339;224442;224541;224636;224728;224806;224890;224971;225048;225119;225188;225254;225316;225373;225427;225477;226801;227812;228827;229847;230871;231899;232933;233971;235013;236060;237112;238498;240185,666666667;241873,333333333;243561;245248,666666667;246936,333333333;248624;250311,666666667;251999,333333333;253687;255374,666666667;257062,333333333;258750;260437,666666667;262125,333333333;263813;265500,666666667;267188,333333333;268876;270563,666666667;272251,333333333;273939;276817;282838;289393;296480;304101;312256;320947;330174;339943;350255;361113;372516;384457;396924;409905;423389;437360;451799;466688;482055;497945;514353;531226;548474;565977;583604;601243;618795;636193;653198;669555;685357;700907;716622;733289;751811;772736;796300;822429;850794;880806;911500;941967;971613;1000037;1027105;1052968;1077671;1101016;1122690;1142395;1160107;1175936;1190065;1202744;1214288;1225131;1235711;1246371;1257371;1268825;1280681;1292929;1305676;1319062
Suriname;3670;3670;3670;3670;3670;3670;3670;3670;3670;3670;3670;3672;3674;3678;3684;3691;3699;3708;3719;3731;3745;3760;3777;3795;3814;3835;3857;3881;3907;3933;3962;3992;4022;4052;4083;4114;4145;4176;4208;4240;4272;4304;4337;4370;4403;4436;4470;4503;4537;4572;4606;4641;4675;4710;4745;4780;4815;4851;4887;4923;4960;4997;5034;5071;5109;5147;5185;5223;5262;5301;5341;5380;5420;5459;5500;5541;5582;5622;5664;5706;5749;5790;5833;5877;5920;5963;6008;6052;6097;6142;6187;6233;6280;6326;6373;6421;6468;6516;6565;6613;6662;6712;6761;6811;6862;6913;6964;7015;7067;7119;7172;7225;7279;7333;7387;7442;7497;7553;7610;7668;7726;7784;7843;7903;7962;8023;8083;8144;8206;8268;8387,33333333333;8506,66666666667;8626;8745,33333333333;8864,66666666667;8984;9103,33333333333;9222,66666666667;9342;9461,33333333333;9580,66666666667;9700;9819,33333333333;9938,66666666667;10058;10177,3333333333;10296,6666666667;10416;10535,3333333333;10654,6666666667;10774;10857;11038;11243;11474;11729;12007;12304;12613;12925;13224;13497;13728;13902;14012;14052;14024;13938;13804;13627;13403;13124;12792;12421;12027;11641;11293;11003;10788;10655;10603;10622;10688;10777;10874;10968;11054;11131;11197;11247;11276;11278;11256;11213;11151;11071;10979;10877;10773;10670;10572;10481;10398;10321;10253;10192;10139;10092;10048;10006;9964;9922;9879;9834;9788;9739
Svalbard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
